Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
0.00,0.0,-0.2,0.0
0.15,-134.3,19.0,172.9
0.30,-29.0,-49.6,69.7
0.45,-24.7,-91.3,4.1
0.60,169.9,-2.9,-7.7
0.75,-60.0,18.4,-9.6
0.90,-59.8,26.5,-9.1
1.05,-25.3,2.9,-10.0
1.20,56.2,-4.4,9.5
1.35,-69.7,10.8,10.0
1.50,-16.8,5.5,-6.1
1.65,97.7,2.9,26.0
1.80,-29.4,-14.1,2.1
1.98,-28.1,-34.2,-13.2
2.10,-7.0,-5.0,0.6
2.25,22.5,16.6,-1.9
2.40,-102.2,27.1,-1.8
2.55,69.2,-14.2,-1.2
2.79,45.4,-12.4,11.2
2.85,28.0,17.1,-10.0
3.00,55.5,25.7,7.0
3.15,-34.7,-26.8,6.7
3.30,217.6,-53.2,24.4
3.45,6.4,-11.8,17.2
3.60,-128.6,43.7,-12.8
3.75,-64.6,52.6,-16.5
3.90,-13.3,-0.2,-1.7
4.05,36.4,-22.2,5.6
4.20,-195.2,-29.3,-182.2
4.35,3.8,80.4,-403.4
4.50,-53.6,83.4,-70.6
4.65,35.2,94.3,6.5
4.80,78.7,-73.0,11.1
4.95,-4.9,-128.8,-19.2
5.10,-22.9,-17.6,-17.7
5.25,-40.6,90.4,1.6
5.40,-15.7,84.2,-7.5
5.55,-110.4,-20.5,2.4
5.70,-17.6,-99.4,12.9
5.85,71.8,-43.8,-17.7
6.00,87.9,23.2,-8.8
6.15,-35.7,79.0,-7.3
6.30,28.8,-52.4,-2.2
6.45,11.3,-42.0,10.2
6.60,143.6,12.0,-5.0
6.75,-51.2,53.5,-11.9
6.90,-28.6,24.0,10.1
7.05,40.1,-13.5,2.1
7.20,18.6,-49.5,-17.4
7.32,84.8,2.0,0.7
7.50,304.1,48.0,-8.6
7.65,31.1,29.8,-10.1
7.80,-121.2,-24.4,2.2
8.00,-116.6,-60.1,21.1
8.13,-49.7,-34.4,5.2
8.25,-3.6,38.2,6.0
8.37,4.6,54.1,10.0
8.52,-96.6,25.8,382.7
8.67,-93.9,-112.4,63.4
8.82,134.3,-137.1,-22.8
8.97,149.6,30.8,-2.6
9.12,-17.0,165.7,2.0
9.27,14.2,88.9,1.6
9.42,-22.1,-69.1,-30.2
9.62,-50.6,-160.9,-7.8
9.75,-36.1,-14.9,-2.7
9.87,49.7,124.8,-8.0
10.02,-28.4,78.5,-5.4
10.17,-27.9,-69.2,-19.4
10.32,-36.4,-79.7,-2.0
10.47,49.3,11.5,-2.9
10.62,-147.8,44.4,6.9
10.79,124.4,19.4,-0.9
10.92,-87.6,-20.3,-11.6
11.07,-93.5,-37.5,-3.8
11.22,-18.7,-5.4,2.7
11.37,62.9,27.9,3.1
11.52,-80.6,22.2,11.0
11.67,-57.2,-3.3,-19.2
11.82,-131.6,-27.7,13.3
11.97,165.6,-8.2,-11.9
12.12,-15.7,16.9,-13.1
12.27,-124.1,9.2,-16.0
12.42,-46.6,0.6,-2.1
12.57,-63.1,-15.3,2.5
12.78,-82.3,-5.5,0.4
12.87,5.9,-2.0,0.0
13.02,-29.2,61.2,-348.6
13.17,-98.3,83.2,-20.3
13.32,67.5,-44.2,-30.3
13.47,-41.5,-46.7,-20.6
13.62,196.4,3.7,10.0
13.77,-20.2,12.1,7.5
13.92,49.7,-8.0,-14.9
14.07,46.0,-11.9,5.2
14.22,105.9,-12.1,7.5
14.37,152.1,-5.3,-7.6
14.52,14.3,-11.9,0.6
14.67,-345.5,-18.7,-32.7
14.82,990.0,32.5,-5.9
14.97,-540.2,14.2,-9.4
15.12,580.5,16.2,5.8
15.27,-261.1,3.1,10.8
15.42,-66.8,16.1,-18.8
15.57,-103.7,-0.9,-12.5
15.72,104.7,-6.7,10.3
15.87,-62.6,-17.7,-10.5
16.02,-99.8,-21.3,12.2
16.17,-78.3,7.4,6.8
16.32,18.5,13.3,-424.2
16.47,-4.8,132.2,-547.1
16.62,-290.1,105.5,-64.7
16.77,111.9,10.5,13.1
16.92,82.2,-14.4,-5.8
17.07,-34.1,-15.1,11.0
17.22,-80.4,-21.6,-13.6
17.37,3.3,-1.7,-4.6
17.52,30.8,-6.6,-10.2
17.67,128.4,-3.4,21.2
17.82,-50.3,9.3,5.5
17.98,71.3,17.1,10.7
18.12,-49.5,-9.7,-16.6
18.27,97.3,-29.9,-5.0
18.42,17.6,-22.5,7.5
18.57,-39.8,-0.1,-6.1
18.72,82.9,-3.3,-3.9
18.87,-71.1,-6.5,9.7
19.02,50.3,44.4,6.4
19.17,39.4,2.8,24.0
19.32,76.8,-15.2,0.8
19.47,-126.3,-23.9,3.4
19.62,61.3,5.2,-1.9
19.77,-114.8,6.7,11.5
19.92,40.9,2.5,-1.8
20.07,-5.5,9.2,-0.6
20.22,32.0,5.9,10.3
20.40,-33.5,-18.7,-13.1
20.52,-13.9,-9.3,-0.5
20.67,-43.2,-24.6,-14.2
20.82,150.6,-31.8,1.4
20.97,-84.9,46.2,-6.4
21.12,-54.9,19.4,-4.0
21.27,160.2,2.9,21.8
21.42,-23.7,-15.6,0.0
21.57,23.6,-20.5,6.9
21.72,-8.3,-36.7,-11.9
21.87,216.6,23.6,-1.7
22.02,127.3,1.8,15.5
22.17,-188.3,24.5,-26.8
22.32,-73.7,19.1,-6.5
22.47,-129.6,-12.7,-12.8
22.68,-93.8,-35.7,-9.0
22.82,-5.3,-29.1,3.0
22.92,-20.0,7.8,1.4
23.07,-12.6,36.6,0.0
23.22,14.5,25.3,0.0
23.37,16.2,-5.5,1.2
23.52,0.1,-33.4,2.7
